'a'wei'si'man'qin 阿维四螨嗪
'chao'xian'xing'dao 朝鲜型稻
'min'zu'zhong'xue 民族中学
'hui'piao 汇票
'sheng'nong'xiu 圣农秀
'a'wei'xin'liu'lin 阿维辛硫磷
'shen'me'yang 什么样
'xiao'he 小河
'lu'dan 鲁单
'gong'ye'yuan'liao'zuo'wu 工业原料作物
'fang'xian'jun'tong 放线菌酮
'pei'yu 培育
'fan'che'yu 翻车鱼
'ti'sheng'nong'chan'pin'de'zhi'liang 提升农产品的质量
'gao'xiao'gai'cao'neng 高效盖草能
'bian'ji'xiao'ying 边际效应
'gan'nai'fen 干奶粉
'pin'zhong'jian'de 品种间的
'gao'lv'liu'dan 高氯硫丹
'wu'hua'de 无花的
'zhi'qu 支渠
'qiao'guan'cao'bing'mao 乔灌草并茂
'yang'ji'jin'zhang 阳极紧张
'hei'wen'fen'die 黑纹粉蝶
'lang'du'su 狼毒素
'chang'bing 肠病
'niao'ding'san'lin'suan 尿啶三磷酸
'sui'ji'shi'yan'she'ji 随机试验设计
'guang'bao'he 光饱和
'ye'mao 野猫
'rui'yi'gai'ge 锐意改革
'gui'suan'na 硅酸钠
'ju'min'qu 居民区
'jian'du'jian'cha'gong'zuo 监督检查工作
'xiao'li'ka'fei 小粒咖啡
'qu'yu'zhan 区域站
'shui'dao'hei'tiao'ai'suo'bing 水稻黑条矮缩病
'dan'bai'si'liao 蛋白饲料
'guan'li 管理
'ye'zi 叶姿
'jia'liu'jun'he'jing 甲硫菌核净
'gou'tao'chong'bing 狗绦虫病
'pen'guan'xi'tong 喷灌系统
'dan'bai'zhi'san'ji'jie'gou 蛋白质三级结构
'he'chuan 河川
'ji'wang'zheng 既往症
'duo'nian'sheng'zuo'wu 多年生作物
'ku'ju'cai 苦苣菜
'rong'jun'mei 溶菌酶
'jing'zhong'chang'ming 警钟长鸣
'bu'ji 补给
'bei'jing'pu'zhou'ke'ji'you'xian'gong'si 北京普洲科技有限公司
'la'jiao'chuang'jia'xing'xi'jun'bing 辣椒疮痂性细菌病
'an'ning 安宁
'xu'shui'liang 需水量
'ji'zhu 记住
'si'liao'qie'sui'ji 饲料切碎机
'she'shi'shu'cai 设施蔬菜
'fu'mei'nie 福美镍
'wei'zhi'sheng'zhang'yin'su 未知生长因素
'wu'tan 乌檀
'mian'ye'chan 棉叶蝉
'wu'jing'de 无茎的
'bao'xian'zhi 保鲜酯
'zeng'liang'ji 增量剂
'bai'ling'gu 白灵菇
'shi'hui'xing'li'gai'tu 石灰性栗钙土
'tai'fei 苔肥
'da'zao'qiao'chong 大造桥虫
'yang'fei'yan'bing'du 羊肺炎病毒
'liang'tian 晾田
'jin'zhong'ling 浸种灵
'ying'ye'cheng'ben 营业成本
'za'jiao'di'yi'dai 杂交第一代
'hai'zhen 海震
'wei'dao 味道
'dan'lun'tuo'la'ji 单轮拖拉机
'he'cao'te 禾草特
'nong'ye'dan'yi'jing'ying 农业单一经营
'hou'xiang 后象
'nong'chan'pin'shang'pin'lv 农产品商品率
'er'ci'xiao'guo 二次效果
'li'shi 砾石
'jiang'ye'nang 浆液囊
'dan'sui 单穗
'jia'cao'an 甲草胺
'liang'hua'zhi'biao 量化指标
'tu'rang'bu'yun'xing 土壤不匀性
'bi'chong'sai'qin'tong 吡虫噻嗪酮
'zi'ran'ji'jie 自然季节
'shi'fan'pian 示范片
'fu'jian'sheng'xia'men'shi'zi'yun'shi'ye'gong'si 福建省厦门市紫云实业公司
'zuo'le'dong'yuan'jiang'hua 作了动员讲话
'jia'pai'ding 甲哌啶
'jing'sha'wei 腈杀威
'ju'ling'dao 局领导
'shan'dao'dao'pian 钐刀刀片
'tu'rang'xi'li 土壤吸力
'er'cha'fen'an 儿茶酚胺
'nong'zi'da'jia'zhi'fa'jian'cha 农资打假执法检查
'shang'bai'mi 上白米
'di'le'shi 地乐施
'dan'gan'liu'suan'tong 氮苷硫酸铜
'hua'fen'chuan'ran 花粉传染
'yuan'sheng'wu'ran'wu 原生污染物
'ying'zhi'xiao'mai 硬质小麦
'xiang'dui'ti'zhong 相对体重
'sang'chi'huo 桑尺蠖
'sui'ji'guo'cheng 随机过程
'han'guo'jing'zhen'zhi'yao'zhu'shi'hui'she 韩国精镇制药株式会社
'bi'li 比例
'tong'zhi'bei'jian'dan'wei 通知被检单位
'zu'ni'xi'shu 阻尼系数
'kuan'dong'bai'juan'bing 款冬白绢病
'sha'man'te 杀螨特
'jiao'lin'suan'jia 焦磷酸钾
'lv'qing'xin'liu'lin 氯氰辛硫磷
'tuo'pin'zeng'shou 脱贫增收
'wu'shui'chi 污水池
'bing'wan'mi 丙烷脒
'chou'yang'dan'wei 抽样单位
'xiong'xing'liang'xing'yi'zhu 雄性两性异株
'lv'zhou'nong'ye 绿洲农业
'zu'zhi 组织
'song'qiu 松球
'xi'mu 细目
'gan'zao'zhi'shu 干燥指数
'ji'ben'jian'she 基本建设
'zhu'zai 猪崽
'jia'yang'qin'huang'long 甲氧嗪磺隆
'he'shang'zhuang 和尚庄
'mi'zhi 密植
'gu'ti 固体
'shu'zi'xiang'cun 数字乡村
'zu'zhi'liao'fa 组织疗法
'huan'suan'zhou'zhuan'liang 换算周转量
'dong'ben'xi'mang 东奔西忙
'hua'fen'mu'xi'bao 花粉母细胞
'chen'jiang'su'du 沉降速度
'zhong'qin 种禽
'yi'chuan'bian'liang 遗传变量
'nong'gong'lian'he'qi'ye 农工联合企业
'liang'shi'zuo'wu 粮食作物
'bin'xian 彬县
'shan'dong'xin'he'nong'yao'hua'gong'you'xian'gong'si 山东新禾农药化工有限公司
'liang'hua'biao'zhun 量化标准
'zi'jiao'xi 自交系
'ri'guang'wen'shi 日光温室
'dan'zhu'xuan'ze 单株选择
'yi'chuan'gan'rao 遗传干扰
'shen'jing'wai'ke'xue 神经外科学
'bo'zai'zhi 钵栽植
'zhong'ji'chang 种鸡场
'an'hui'sheng'ling'bi'xian'nong'yao'chang 安徽省灵璧县农药厂
'mu'zhi'guo'de 木质果的
'zheng'liu'ping 蒸馏瓶
'hui'gui'fen'xi 回归分析
'jing'zheng'shang'gang 竞争上岗
'da'zhu'kui 大竺葵
'zang'qing'se 藏青色
'xi'zuo'ke'bai'wei 烯唑克百威
'ru'bai'se 乳白色
'shi'chong'zhi'wu 食虫植物
'jia'chu'fu'qiang'si'zhuang'chong'bing 家畜腹腔丝状虫病
'dou'lei 豆类
'tong'tou 通透
'sao'huang 扫荒
'shen'bo 深播
'dai'sen'meng 代森锰
'yan'ban'bing 眼斑病
'er'xing 而行
'ji'sheng'chong'bing 寄生虫病
'jia'yun 假孕
'deng'zheng'fa'liang'xian 等蒸发量线
'tuo'yan'hua 脱盐化
'zai'pei'di'yu 栽培地域
'bian'xing 变性
'rong'ru'guan 荣辱观
'meng'de'er'zhou 孟德尔皱
'sang'bai'juan'bing 桑白绢病
'nong'xue'jia 农学家
'gan'ku'bing 秆枯病
'jiang'su'hua'nong'sheng'wu'hua'xue'you'xian'gong'si 江苏华农生物化学有限公司
'gong'an'ju 公安局
'yi'mei'an 抑霉胺
'fen'tan'fei'yong 分摊费用
'bing'e'jia'shuang'ling 丙噁甲霜灵
'yuan'sheng'zhi'xi'bao 原生殖细胞
'ya'shi 蚜狮
'ying'chi'mu 缨翅目
'liu'huan'lin 硫环磷
'qian'ye'ying 潜叶蝇
'tu'di'gou'cheng 土地构成
'xian'nong'ji'jian'li'zhan 县农机监理站
'wen'ding'du 稳定度
'chun'xiu'xian'di 纯休闲地
'hong'sha'rang 红砂壤
'bo'li'wen'chuang 玻璃温床
'lun'zhu 论著
'mian'yi'xue 免疫学
'jing'ye'bao'cun 精液保存
'lin'suan'hua 磷酸化
'gui'zhou'tian'he'nong'ke'you'xian'gong'si 贵州天和农科有限公司
'guan'gai'jian'zhu'wu 灌溉建筑物
'qie'ye'yi 切叶蚁
'jia'lian 价廉
'pei'lan 佩兰
'da'ting 大厅
'wen'shi'guo'shi 温室果实
'zhi'ye'zhong'xue 职业中学
'dou'tian'e 豆天蛾
'shan'dong'sheng'liao'cheng'shi'chang'feng'nong'yao'you'xian'gong'si 山东省聊城市昌丰农药有限公司
'shou'jing'nang 受精囊
'mi'suo'yi'e'song 咪羧异噁松
'nai'pin'jia'gong'she'bei 奶品加工设备
'za'zhong'you'shi'zhi'shu 杂种优势指数
'xiao'mai'he'xiu'bing 小麦褐锈病
'dui'sheng'ye'de 对生叶的
'an'quan'yong'liang 安全用量
'wai'shang'xing'pi'fu'yan 外伤性皮肤炎
'bai'zhi'tu 百治屠
'gen'ji'wei'sheng'wu 根际微生物
'gong'yin 共印
'jin'qian'ju 金钱菊
'guang'xi'meng'shan'xian'nan'xiong'hua'gong'chang 广西蒙山县南雄化工厂
'bu'lv'jian'nan 步履艰难
'jie'gou'tu'rang 结构土壤
'you'yi'pi 有一批
'ning'jiao 凝胶
'guang'he'zhang'ai'xing 光合障碍型
'deng'dai'shi'jian 等待时间
'peng'run'shi 膨润石
'sha'dan'gao'lv'fu 杀单高氯氟
'xin'zhong 新种
'ning'meng'suan'rong'xing'lin 柠檬酸溶性磷
'nong'ye'xi'tong'mo'xing 农业系统模型
'shi'jie'di'tu 世界地图
'ma'bi 麻痹
'jian'xing'xian'xiang 间性现象
'he'xie'she'hui 和谐社会
'ji'chu'gong'zi 基础工资
'sheng'zhang'lv 生长率
'hui'gui'xian 回归线
'si'lun'qu'dong'tuo'la'ji 四轮驱动拖拉机
'sheng'li'bu'yu'xing 生理不育性
'zhi'ci 值此
'mei'zhu'li'shu 每株粒数
'bao'luan'ji 抱卵鸡
'shui'xi 水洗
'shan'dong'yun'sheng'sheng'wu'ke'ji'you'xian'gong'si 山东运盛生物科技有限公司
'quan'lie'tou'tao'chong'bing 犬裂头绦虫病
'xin'jiao'tong 心绞痛
'shui'zha 水闸
'tu'si'zi'chuan'ran 菟丝子传染
'jia'yun 甲晕
'jun'shu 均数
'gao'lv'yang'le'guo 高氯氧乐果
'fa'dong'ji'ting'zhuan 发动机停转
'yao'hai 药害
'jie'ben'zeng'xiao 节本增效
'jing'ji'xiao'yi 经济效益
'ju'xie'dui'fei 锯屑堆肥
'sheng'wu'fa'yu 生物发育
'zan'zi 錾子
'shen'ru'kai'zhan 深入开展
'chu'niao'xin'liu'lin 除脲辛硫磷
'mie'jia'xin'liu'lin 灭甲辛硫磷
'jia'chu'wei'jie'he 家畜伪结核
'a'wei'lv'qing 阿维氯氰
'hua'pian'yu'yi'ce'de 花偏於一侧的
'lv'fei'zhong'zhi'qing'kuang 绿肥种植情况
'tong'guo'zhong'sang'yang'can 通过种桑养蚕
'zai'zhi'gan'bu'quan'yuan'pei'xun'ji'hua 在职干部全员培训计划
'he'dan'bai'ti'shun'fan'zi 核蛋白体顺反子
'chan'pin'xiao'shou'li'shui'lv 产品销售利税率
'luo'xuan'shi'si'liao'hun'he'qi 螺旋式饲料混合器
'cao'mei 草莓
'xiang'chun 香椿
'xin'yu'zhi'shang 信誉至上
'xian'zhi'bao'zhan 县植保站
'bing'zhuang'si'liao 饼状饲料
'gan'shao'xin 干烧心
'tuo'ma'si'lu'du 托马斯炉黷
'chan'dan'ji'she 产蛋鸡舍
'sen'lin'tu 森林土
'jing'zuo'chang 经作场
'huang'mo'hua 荒漠化
'bu'ti'jie'he'shi'yan 补体结合试验
'hong'li 红利
'shi'run'xi'shu 湿润系数
'qiang'lin'rong'tu 强淋溶土
'zai'li'yong'lv 再利用率
'qiu'ling'fang'mu'de 丘陵放牧地
'he'xing 核型
'zong'se'shui'dao'tu 棕色水稻土
'zi'li'guan'jiang 籽粒灌浆
'qi'nang 气囊
'xue'xi 学习
'wei'hong 微红
'he'xin 核心
'xi'meng'xian 西盟县
'guo'ying 果蝇
'fu'ning 富宁
'sai'zuo'lin 噻唑膦
'dao'yan'die 稻眼蝶
'hua'xue'shi'ji 化学试剂
'ran'se'dan'ti'yi'wei 染色单体易位
'er'yang'hua'tan 二氧化碳
'li'liang 犁梁
'que'cao'zhi 炔草酯
'zuo'wu'ke'xue'yan'jiu'suo 作物科学研究所
'zhi'jie'bo'zhong 直接播种
'gan'shou'xing 感受性
'tu'bian'shi'ying'xing 突变适应性
'cu'si'liao 粗饲料
'yin'xing 银杏
'zhi'chi'gen 支持根
'fu'man'niao 氟满脲
'suo'yong 所用
'zhong'guo'nong'ye'xin'xi'wang 中国农业信息网
'mi'bing'yi'e'song 咪丙异噁松
'song'chi 松弛
'fang'da'ji 放大机
'qian'he'ti 嵌合体
'di'yi'xian 第一线
'bo'er'duo'ye 波尔多液
'bi'jing'zhi'lu 必经之路
'he'cheng'liang 合成量
'chu'niao'du'si'pi 除脲毒死蜱
'an'hui'ke'yuan'zhi'bao'gong'cheng'you'xian'ze'ren'gong'si 安徽科苑植保工程有限责任公司
'shi'wu'gong'cheng'liang 实物工程量
'yuan'ye'qian'niu 圆叶牵牛
'fang'hong'di'ba 防洪堤坝
'nen'huang'gua 嫩黄瓜
'lie'dang 列当
'chou'xian 臭腺
'dian'shi'bao 电视报
'da'dou'fen 大豆粉
'gan'su'san'chuan'yao'ye'you'xian'ze'ren'gong'si 甘肃三川药业有限责任公司
'dui'xia 对虾
'shi'wen'ling 虱纹灵
'xi'xiao'yi'xi'li 烯效乙烯利
'di'yu 地域
'bei'jing'zhong'nong'ke'mei'hua'gong'you'xian'gong'si 北京中农科美化工有限公司
'chi'ban 翅瓣
'sheng'nong'da 省农大
'ru'fu'chan'pin 乳副产品
'fen'nie'shao 分蘖少
'te'ding'tong 特丁通
'gong'niu'lan 公牛栏
'shi'si'tan'er'xi'chun 十四碳二烯醇
'liu'suan'huan'yuan'guo'cheng 硫酸还原过程
'xun'gu 寻古
'li'ye'de 离叶的
'cha'he'se'ye'ban'bing 茶褐色叶斑病
'shi'ming'gan 使命感
'ye'lai'xiang 夜来香
'shi'kou'xing 适口性
'er'cha'fen'yang'hua'mei 儿茶酚氧化酶
'pu'di'bai 铺地柏
'duo'chong'hui'gui'fen'xi 多重回归分析
'mu'tong'tang 木酮糖
'jia'qin'pei'bing 家禽胚病
'an'hui'jin'tai'nong'yao'hua'gong'you'xian'gong'si 安徽金泰农药化工有限公司
'nong'ye'ban'ji'xie'hua 农业半机械化
'mi'kang'bing 米糠饼
'zong'zhuang'hua'xu 总状花序
'zhi'xing'wei'yuan'hui 执行委员会
'yang'jing 阳茎
'hui'er 惠尔
'duo'ji'yin 多基因
'bu'gou'zheng'chang 不够正常
'zhi'wu'yang'fen 植物养分
'shan'dong'sheng'zi'bo'lv'jing'nong'yao'you'xian'gong'si 山东省淄博绿晶农药有限公司
'yu'ci 与此
'tu'rang'xi'jun 土壤细菌
'da'wen'ke 大蚊科
'bian'yi'cheng'xu 编译程序
'zhou'guo'qiang 周国强
'chun'xiang 椿象
'nong'ye'qi'hou'kao'cha 农业气候考察
'zhuang'ji'sha'chong 撞击杀虫
'lv'an'mie'duo'wei 氯胺灭多威
'jie'chu'gan'ran 接触感染
'yi'chuan'chong'shua 遗传冲刷
'nong'ye'tu'rang'gai'liang'de 农业土壤改良的
'qing'wu'xin'liu'lin 氰戊辛硫磷
'ya'zhou'xue'xi'chong'bing 亚洲血吸虫病
'hua'nong 化脓
'xian'mao'chong'lei 纤毛虫类
'jie'dian'te'xing 介电特性
'yuan'shi'luan'bao 原始卵胞
'yan'cao'qi'hou'ban'dian'bing 烟草气候斑点病
'mian'mao'e'de 绵毛萼的
'pei'ru 胚乳
'dian'dong'beng 电动泵
'di'du'liu'lin 低毒硫磷
'qiang'xi'ma'lin'gua 羟烯吗啉胍
'xian'an'mei 酰胺酶
'tao'zhen 套针
'yi'quan 乙醛
'qiu'zhuang'de 球状的
'sang'xi'jun'xing'qing'ku'bing 桑细菌性青枯病
'shi'qing'yang 试情羊
'lv'chi'ji'ying'ye'jia 绿翅脊萤叶甲
'chu'li'bu'jian 处理部件
'shi'zhi'wu'de 食植物的
'gen'ju'wo'ju'shi'ji 根据我局实际
'lv'xiu'yi'qing'niao'suan 氯溴异氰尿酸
'quan'yuan 泉源
'ban'zhi'si'nong'du 半致死浓度
'da'dou'yi'bing 大豆疫病
'hong'yuan'jie 红圆蚧
'deng'ji'yin'xi 等基因系
'nong'cun'ren'kou 农村人口
'mao'xi'xian'chong'bing 毛细线虫病
'he'cheng'si'liao 合成饲料
'de'guo'bai'er'zuo'wu'ke'xue'gong'si 德国拜耳作物科学公司
'gai'suo 该所
'fen'xi'zhong'xin 分析中心
'jue'ce'ke'xue 决策科学
'li'ti'duo'shu'zhi'zhong'zhi 立体多熟制种植
'zhu'chuan'ran'xing'chang'wei'yan 猪传染性肠胃炎
'wai'sheng'bao'zi 外生孢子
'quan'guo'nong'ye'zong'he'zhi'fa'xian'jin'dan'wei 全国农业综合执法先进单位
'zhong'sang'yang'can 种桑养蚕
'xiang'wei'she 响尾蛇
'kong'tou 空头
'ju'dun'de 具盾的
'fang'hua'lian 防滑链
'shi'wan'zhen'dong'jiang'cun 石湾镇东江村
'chong'zu'ti 重组体
'you'qu'jin 莠去津
'jian'li 建立
'shen'shang'xian'pi'zhi'su 肾上腺皮质素
'zhi'liao'sha'zhen'jun'ji 治疗杀真菌剂
'jiang'su'chun'jiang'nong'hua'you'xian'gong'si 江苏春江农化有限公司
'yun'jing'you 云粳优
'shi'wan'qing'shui 石湾清水
'tan'shi 弹石
'qu'xiang'yun'dong 取向运动
'huang'ban'chang'fu'ying'ye'jia 黄斑长跗萤叶甲
'jian'yu'ci 鉴于此
'ping'guo'hei'xing'bing 苹果黑星病
'he'ru'jiao 核乳胶
'wu'li'feng'hua 物理风化
'zhun'bei'jin 准备金
'gou'bo 沟播
'ye'ling 叶龄
'wen'ju'jiao'dai 文具胶带
'yan'ji'ma 烟蓟马
'shui'fen'bu'chang 水分补偿
'zhi'bo'dao'cao'ke 直播稻草克
'li'xin'beng 离心泵
'qiu'chu 秋初
'yi'xiang'huo'dong 一项活动
'jia'wan'xi'jun 甲烷细菌
'nan'kang 南抗
'ling'yu'hua'fen'dan'wei 领域划分单位
'shen'jing'ji'zhang'ai 神经肌障碍
'ji'sheng'xing'bing'hai 寄生性病害
'you'sha 诱杀
'jiao'ruan 角朊
'ren'xin'guo 人心果
'tong'yi 同一
'an'kui'cao'chu'ling 胺喹草除灵
'jing'fang 竞放
'te'pai'yuan 特派员
'he'ben'ke'gu'li'si'liao 禾本科谷粒饲料
'yao'yi 摇椅
'bu'bao'he'cu'gu'tu 不饱和粗骨土
'an'ti'bi'lin 安替比林
'ruo'du'zhu 弱毒株
'tie'chen'ji'tu 铁沉积土
'sang'xi'jun'xing'yi'bing 桑细菌性疫病
'yan'zhu 阉猪
'ba'shi'xiao'ti 巴氏小体
'chui'sui'chou'cao 垂穗臭草
'san'ye'cao'fu'lan'bing 三叶草腐烂病
'meng'qin 猛禽
'bu'bo 补播
'xian'chu 闲锄
'xiang'dui'shi'du 相对湿度
'guan'li'mo'shi 管理模式
'xian'yan'cao'gong'si 县烟草公司
'hua'xue'te'xing 化学特性
'sui'ji'hua 随机化
'shuang'dan'bei'ti 双单倍体
'yin'duo'ji'ding'suan 吲哚基丁酸
'dan'an'se'tu 淡暗色土
'guan'liao'zhu'yi 官僚主义
'mei'miao'zhong 每秒钟
'lao'shu'gua 老鼠瓜
'yi'chang'gao'wen 异常高温
'wen'shi'du 温湿度
'kou'qian'ye 口前叶
'sha'rang 沙壤
'shan'dong'sheng'long'kou'shi'hua'gong'chang 山东省龙口市化工厂
'nong'ye'ji'shu'pei'xun'he 农业技术培训和
'yi'xiang 彝乡
'han'shui'de 含水的
'nong'ye'qi'xiang'xue 农业气象学
'wu'lv'ban'zhong'shuang 五氯拌种双
'ma'ling'shu'zhong'du 马铃薯中毒
'ye'wu'gong'zuo'fang'mian 业务工作方面
'yi'yang'zai'pei 移秧栽培
'jin'hua'tu'rang'xue 进化土壤学
'jiu'ye 厩液
'fu'he'fei 复合肥
'wai'mao 外貌
'gan'zhe'xian'chong'bing 甘蔗线虫病
'mian'zi'bing 棉籽饼
'chong'qi 充气
'mie'sha'bi 灭杀毙
'quan'xian 全险
'zuo'chun'jia'ban'lin 唑醇甲拌磷
'jie'shi'qi 结实期
'zuo'chun'fu'mei'shuang 唑醇福美双
'fu'man 氟螨
'chu'zu'che 出租车
'lu'pei'wei 卢培伟
'pu'tiao'ge 铺条割
'hua'ji'ma 花蓟马
'bing'liu'lin 丙硫磷
'lie'hao'ma 列号码
'shi'wen 室温
'ji'luo'xuan'ti'bing 鸡螺旋体病
'duo'xi'za'jiao'ce'yan 多系杂交测验
'xie'xing'de 楔形的
'xiao'hua'dan'bai 消化蛋白
'biao'nong 骠农
'xian'xing'ding'lv 显性定律
'mu'xing'xing'wei 母性行为
'ji'chuan'ran'xing'bi'yan 鸡传染性鼻炎
'xiao'hua'mei 消化酶
'sha'cao'kuang 杀草狂
'ji'suan 肌酸
'ka'fei'dou'xiang 咖啡豆象
'liu'fei 硫肥
'yu'miao 育苗
'sang'huang'mi'ying'ye'jia 桑黄迷萤叶甲
'dan'xi'bao'dong'wu 单细胞动物
'di'wen'gan'zao 低温干燥
'guang'ke'xing 光壳型
'bi'cao'an 吡草胺
'mei'zhou'fu'she 美洲腹蛇
'di'fei'li 低肥力
'lao'dong'li'zhuan'yi 劳动力转移
'que'bao 确保
'ren'zhen'zhua'hao 认真抓好
'jing'hua'xi'shu 净化系数
'zui'di'liang'ding'lv 最低量定律
'fu'shou'luo 福寿螺
'di'mao'qu 地貌区
'xian'jing'ji'zuo'wu'ji'shu'tui'guang'zhan 县经济作物技术推广站
'zui'die'hua 醉蝶花
'gao'xiao'fu'lv'qing'ju'zhi 高效氟氯氰菊酯
'le'tu 乐土
'tu'di'cheng'bao 土地承包
'tu'di'shi'he'xing 土地适合性
'fu'jing'mie'xian'lin 氟腈灭线磷
'chi'mei'bing 赤霉病
'fu'zhi'suan'niao'su 腐殖酸尿素
'jie'diao 揭掉
'shan'nan 陕南
'shu'cai'zhu'cang 蔬菜贮藏
'shu'zhong'guan 输种管
'sheng'yu'qi'yu'ce 生育期预测
'fu'jian'tai'he'nong'da'sheng'hua'you'xian'gong'si 福建泰禾农大生化有限公司
'dang'zu'zhi'fu'wu'nian 党组织服务年
'tiao'jie'lin 调节磷
'tai'bo 太薄
'lie'zhi'zhi'wu 裂殖植物
'cao'ju 草惧
'qian'yin'che 牵引车
'sang'shen'jun'he'bing 桑椹菌核病
'qu'jing'zeng 曲颈甑
'guan'jie'bing 关节病
'tang'hua 糖化
'shi'ba 石坝
'zhu'xiao'ji'yin'kang'bing'xing 主效基因抗病性
'chu'yong'yao 畜用药
'hao'ren'zhu'yi 好人主义
'tian'jie'cai 田芥菜
'ye'dan'bai'nong'suo'wu 叶蛋白浓缩物
'huang'chong'fang'zhi 蝗虫防治
'she'hui'zhu'yi'shi'chang'jing'ji 社会主义市场经济
'cha'mao'chong 茶毛虫
'huang'fen'chong 黄粉虫
'man'chun'da'man'ling 螨醇哒螨灵
'dian'zhi'biao 甸指标
'zhan'shi'qu 展示区
'ren'gong'wu'ran 人工污染
'jiang'xi'bang'bo'sheng'wu'yao'ye'you'xian'gong'si 江西邦博生物药业有限公司
'dan'ke'long'kang'ti 单克隆抗体
'duo'nian'ping'jun'zhi 多年平均值
'ke'jian'zhi'si 可见致死
'lv'luo 驴骡
'ma'lie'xing'gan'mao 马列性感冒
'wei'qi'xiang'xue 微气象学
'bi'bing'mi 吡丙醚
'shan'dong'sheng'ji'ning'shi'yi'min'hua'gong'chang 山东省济宁市益民化工厂
'shui'zi 水渍
'ren'kou'mi'du 人口密度
'jiang'su'sheng'su'zhou'hua'gong'nong'yao'ji'tuan'gong'si 江苏省苏州化工农药集团公司
'wu'feng 吴锋
'hua'lang 画廊
'zheng'jiao'xi'shu 正交系数
'shu'cai'xue 蔬菜学
'dan'mi'huang'long 单嘧磺隆
'nian'tu'de 粘土的
'tu'bian'dan'bai'zhi 突变蛋白质
'si'liao'xiao'hao'liang 饲料消耗量
'zhe'zhou'yun'dong 褶皱运动
'you'huo 诱惑
'fu'xian 附腺
'can'he'jiang'bing 蚕褐僵病
'lai'hui'piao 来回票
'hao'qi'fa'jiao 好气发酵
'san'mian'can 三眠蚕
'tuo'la'si 托拉斯
'zheng'que'ci 正确词
'fa'ding'shu'ju 法定数据
'zhen'ya 镇蚜
'lin'shi'zheng'jian 临时证件
'shuang'jiang 双江
'ke'e'bao 克蛾宝
'ban'gu'ding'pen'wu'qi 板固定喷雾器
'xian'gong'shang'lian 县工商联
'wu'ye'de 无叶的
'gao'jie 高接
'long'dan 龙旦
'mian'mang'chun 棉盲蝽
'fu'yi 富意
'jiu'ye'beng 厩液泵
'jia'xiang'jun'zhi 甲香菌酯
'zi'ti'zhong'du 自体中毒
'tu'ya 土压
'bei'jing'shi'rong'kun'ji'shu'kai'fa'you'xian'gong'si 北京市荣昆技术开发有限公司
'yi'bi'lin 伊比磷
'gong'zuo'zhi'hou 工作滞后
'huang'xin 黄心
'wai'bu'xing'tai 外部形态
'zhong'qi 中期
'gu'piao'shi'chang 股票市场
'hai'nan'bai'jia'hua'xue'zhi'pin'you'xian'gong'si 海南百佳化学制品有限公司
'bai'fen'lv 百分率
'qu'zhang 曲樟
'qian'li'gan'zhong 千粒干重
'mian'fen'chu'li 面粉处理
'pen'wu'qi 喷雾器
'wang'rong'hua 王荣华
'wang'liao 网聊
'liang'nian 两年
'nong'gong'yi'ti'hua 农工一体化
'yan'cao'huai'si'bing'du'bing 烟草坏死病毒病
'jian'jin'duo'tai'xian'xiang 渐进多态现象
'ying'dan'bai 硬蛋白
'bi'chang'nian'tong'qi 比常年同期
'guang'xi'hong'run'nong'yao'you'xian'gong'si 广西弘润农药有限公司
'kang'man'zuo 抗螨唑
'lu'hui'su 芦荟素
'zhong'zi'ti'chun 种子提纯
'di'chan'pin'jin'huo'lv'he'shou'gou'lv 地产品进货率和收购率
'nong'guang'xiao 农广校
'que'ke 缺刻
'xi'jia'niu'she 系枷牛舍
'luo'huang 落黄
'zi'ran'tong'feng'gan'zao 自然通风干燥
'ge'wu'ran 镉污染
'duo'nian'sheng'mu'cao 多年生牧草
'nian'zhe'mo'duan 粘着末端
'qing'wu'yang'le'guo 氰戊氧乐果
'xiao'niu 小牛
'zheng'xing 整形
'ye'ku'san 叶枯散
'cha'shu 茶树
'gao'lv'ma 高氯马
'jie'dian'bing 疖点病
'yin'shui'kou 引水口
'lao'gong'fa 劳工法
'hui'li 会理
'huan'jing'xiang'guan 环境相关
'yan'ji'jiao'huan 盐基交换
'yi'chong'jing 乙虫腈
'mian'wei'dan 棉萎丹
'fu'zhao'jia'gong 辐照加工
'tai'che'liang 台车辆
'geng'shen 庚申
'hei'mai 黑麦
'nong'fu'chan'pin'de'zi'ran'liang 农副产品的自然量
'zi'you'jing'ji 自由经济
'lao'xian'yue 劳宪跃
'lao'an'suan'mei 酪氨酸酶
'huang'hou 皇后
'yong'gong'qi'ye 用工企业
'zi'zuo 子座
'da'zao'you'shi'nong'chan'pin'chan'ye'ji'qun 打造优势农产品产业集群
'fen'zhi'gan'jun'shu 分枝杆菌属
'fu'lang 福朗
'huan'jing'bao'hu'bu 环境保护部
'xiao'mai'chi'mei'bing 小麦赤霉病
'jiu'zhu 救助
'dou'niu 斗牛
'shen'lou'ce'ding'ji 渗漏测定计
'yi'fang'mian 一方面
'gen'qin'cai 根芹菜
'yi'bian 以便
'shui'mei 水媒
'jing'ji'qu'dao 经济渠道
'xiong'xing'bu'yu 雄性不育
'yang'pin'biao'zhun'cha 样品标准差
'qi'ta'xian'huo'shui'chan'pin 其他鲜活水产品
'zheng'fa'yi'zhi'ji 蒸发抑制剂
'mei'hui 煤灰
'ti'gao 提高
'ci'he 雌核
'nian'you 年幼
