'a'bo 阿勃
'qian'fu 潜伏
'qian'fu'de 潜伏的
'qian'fu'ji'yin 潜伏基因
'qian'fu'qi 潜伏期
'qian'fu'xing'gan'ran 潜伏性感染
'qian'fu'ya 潜伏芽
'qian'geng 浅耕
'qian'guan 潜管
'qian'he'ti 嵌合体
'qian'he'ti'ji'yin 嵌合体基因
'qian'hui'se'tu'rang 浅灰色土壤
'qian'jie 嵌接
'qian'jin 千斤
'qian'jin'yan'hua 前进演化
'qian'li 千粒
'qian'li 潜力
'qian'li'gan'zhong 千粒干重
'qian'li'ti'ji 千粒体积
'qian'li'zhong 千粒重
'qian'lie'xian 前列腺
'qian'lie'xian'su 前列腺素
'qian'mei'yan 千枚岩
'qian'qi 前期
'qian'qi'yi'zhi'ji 前期抑制剂
'qian'qu 前驱
'qian'ran'se'ti 前染色体
'qian're 潜热
'qian'se'bian'xing'tu 浅色变性土
'qian'shou 歉收
'qian'shu 前述
'qian'suo'wei'you 前所未有
'qian'tan 浅滩
'qian'ti 前提
'qian'tu'bian 前突变
'qian'wei 前胃
'qian'wei'wei'sheng'wu 前胃微生物
'qian'wen 前文
'qian'wu'ran 铅污染
'qian'xian 乾县
'qian'xian'li'ti 前线粒体
'qian'xing 仟性
'qian'xing 扦性
'qian'xing 钎性
'qian'xing 钱性
'qian'xing 钳性
'qian'xing'jian'du 潜性碱度
'qian'xing'suan'du 潜性酸度
'qian'xiong'xian 前胸腺
'qian'yan 潜堰
'qian'yang 千阳
'qian'yin'li 牵引犁
'qian'yin'shi'lian'he'shou'huo'ji 牵引式联合收获机
'qian'yin'shi'lou'cao'ji 牵引式搂草机
'qian'yu'ceng 潜育层
'qian'yu'hei'gai'tu 潜育黑钙土
'qian'yu'hua 潜育化
'qian'yu'hui'hua'tu'ji'qian'yu'sheng'cao'hui'hua'tu 潜育灰化土及潜育生草灰化土
'qian'yu'hui'se'sen'lin'tu 潜育灰色森林土
'qian'yu'ji'shang'ling 潜育汲赏羐
'qian'yu'jian'tu 潜育碱土
'qian'yu'lin'rong'tu 潜育淋溶土
'qian'yu'qiang'lin'rong'tu 潜育强淋溶土
'qian'yu'shi'cheng'tu 潜育始成土
'qian'yu'tu 潜育土
'qian'yu'xing'sheng'cao'tu'rang 潜育性生草土壤
'qian'yu'yan'tu 潜育盐土
'qian'zai 浅栽
'qian'zai'de'sheng'chan'neng'li 潜在的生产能力
'qian'zai'fei'li 潜在肥力
'qian'zai'tu'rang'fei'li 潜在土壤肥力
'qian'zhong'du 铅中毒
'qian'zu 前足
'qian'zuo 前作
'qiang'du 强度
'qiang'du'yin'su 强度因素
'qiang'du'zhu 强毒株
'qiang'feng'hua'zhan'pan'tu 强风化粘磐土
'qiang'ji'fu'an'suan 羟基脯氨酸
'qiang'ji'hua 羟基化
'qiang'ji'hua'mei 羟基化酶
'qiang'ji'xiang'mao'quan 羟基香茅醛
'qiang'li'mei'su 强力霉素
'qiang'lin'rong'tu 强淋溶土
'qiang'shang'nang 腔上囊
'qiang'si 枪丝
'qiang'wei'ke'zhi'wu 蔷薇科植物
'qiang'you'li 强有力
'qiang'zhi'huan'yu 强制换羽
'qiang'zhi'si'wei 强制饲喂
'qiang'zhi'zhan 抢至閚
'qiao'chi'lei 鞘翅类
'qiao'dou 壳斗
'qiao'mai 荞麦
'qiao'mai'bai'fen'bing 荞麦白粉病
'qiao'mai'yi'bing 荞麦疫病
'qiao'mai'zhong'du 荞麦中毒
'qiao'mu 乔木
'qiao'xing 锹性
'qiao'ye'de 鞘叶的
'qiao'zhi'mei 壳质酶
'qie'chu 切除
'qie'diao 切掉
'qie'duan'shu 切断术
'qie'gao'ji 切藁机
'qie'ge'lian 切割链
'qie'ge'pu 切割扑
'qie'ge'qi'lian'dao 切割器镰刀
'qie'gen'chong 切根虫
'qie'guo'lei'shu'cai 茄果类蔬菜
'qie'jian 茄碱
'qie'kai 切开
'qie'kuai'ji 切块机
'qie'pian'fa 切片法
'qie'sang 切桑
'qie'shi'ke'xing 切实可行
'qie'sui'chui'song'ji 切碎吹送机
'qie'sui'ji 切碎机
'qie'sui'pin'pian 切碎贫片
'qie'ye'yi 切叶蚁
'qie'zi'ban'shen'wei'diao'bing 茄子半身萎凋病
'qie'zi'he'ban'bing 茄子褐斑病
'qie'zi'he'se'yuan'xing'bing 茄子褐色圆星病
'qie'zi'hei'ku'bing 茄子黑枯病
'qie'zi'hui'mei'bing 茄子灰霉病
'qie'zi'ke'shu'cai 茄子科蔬菜
'qie'zi'ke'zhi'wu 茄子科植物
'qie'zui'jian 切嘴尖
'qin'bai'xue'bing'bu'ti'jie'he'xue'qing'shi'yan 禽白血病补体结合血清试验
'qin'ben 亲本
'qin'ben'zhi'wu 亲本植物
'qin'cai 芹菜
'qin'dai'xing 亲代型
'qin'he'li 亲和力
'qin'he'xing 亲和性
'qin'he'xing'ceng'xi'pu 亲和性层析谱
'qin'lie'xing'gan'mao'bing'du 禽列性感冒病毒
'qin'ling 秦岭
'qin'ran 侵染
'qin'ru'di'kang'xing 侵入抵抗性
'qin'ru'yan 侵入岩
'qin'shang'han 禽伤寒
'qin'she 禽舍
'qin'shen'jing'xing'yao'ji 亲神经性药剂
'qin'shi 侵蚀
'qin'shi'gou 侵蚀沟
'qin'shi'guo'cheng 侵蚀过程
'qin'shi'ji'zhun'mian 侵蚀基准面
'qin'shi'lv 侵蚀率
'qin'shi'tu 侵蚀土
'qin'shi'zhuo 侵蚀酌
'qin'xi'mi'du 侵袭密度
'qin'xian'bing'du 禽腺病毒
'qin'xing 秦性
'qin'xing 钦性
'qin'ye'de 亲液的
'qing'cai 青菜
'qing'cao'chan'liang 青草产量
'qing'cao'dui'fei 青草堆肥
'qing'dao'li 青稻粒
'qing'er'yi'ju 轻而易举
'qing'fu'zhi'zhi 轻腐殖质
'qing'gong'ye 轻工业
'qing'gou 清沟
'qing'gu'an 氰钴胺
'qing'hua'wu 氰化物
'qing'ji'gua 氰基胍
'qing'ke 青稞
'qing'ku 青枯
'qing'la'jiao 青辣椒
'qing'lai 青睐
'qing'li'zi'nong'du 氢离子浓度
'qing'liu'hai 氢硫害
'qing'lv'si'cao 青绿饲草
'qing'ma 苘麻
'qing'mei'bing 青霉病
'qing'mei'su 青霉素
'qing'mei'yang'fei 轻镁氧肥
'qing'nian'ren 青年人
'qing'qing'suan'ji'nong'yao 氢氰酸剂农药
'qing'sao 清扫
'qing'shi'ceng'tu'rang 轻石层土壤
'qing'shui'ku 清水库
'qing'si'liao 青饲料
'qing'si'liao'cha 青饲料叉
'qing'si'liao'fen'sui'ji 青饲料粉碎机
'qing'si'liao'gan'zao'ji 青饲料干燥机
'qing'song'tu 轻松土
'qing'suan 氰酸
'qing'suan 青蒜
'qing'suan'qi'ti 氰酸气体
'qing'ting 蜻蜓
'qing'ting'mu 蜻蜓目
'qing'wu'ju'zhi 氰戊菊酯
'qing'xi 清洗
'qing'xian'an 氰酰胺
'qing'xie 倾斜
'qing'xie'shi'tuo'che 倾卸式拖车
'qing'xie'yao 轻泻药
'qing'xing 晴性
'qing'xing 氢性
'qing'xuan 清选
'qing'yang'hua'gai 氢氧化钙
'qing'yang'hua'mei'fei 氢氧化镁肥
'qing'yang'hua'na 氢氧化钠
'qing'yang'hua'wu 氢氧化物
'qing'yi'si'liao'qie'duan'ji 青刈饲料切断机
'qing'yi'yong'cao'chang 青刈用草场
'qing'zang 青藏
'qing'zhong'ji 清种机
'qing'zhu 青贮
'qing'zhu'cang 青贮仓
'qing'zhu'lian'shou'ge'ji 青贮联收割机
'qing'zhu'liao'yu'mi 青贮料玉米
'qing'zhu'lv 倾注滤
'qing'zhu'si'liao 青贮饲料
'qing'zhu'si'liao'fa'jiao 青贮饲料发酵
'qing'zhu'si'liao'zhi'zuo 青贮饲料制作
'qing'zhu'ta 青贮塔
'qing'zhu'yu'mi'shou'huo'ji 青贮玉米收获机
'qing'zhu'zui'shou'ge'ji 青贮罪收割机
'qiong'zhi 琼脂
'qiong'zhi'fang'fa 琼脂方法
'qiong'zhi'ping'ban 琼脂平板
'qiong'zhi'ping'ban'ji'shu 琼脂平板计数
'qiu'bo 秋播
'qiu'bo'zui 秋播罪
'qiu'cai 秋菜
'qiu'can'fu'hua 秋蚕孵化
'qiu'can'qi 秋蚕期
'qiu'can'sang 秋蚕桑
'qiu'can'zhuan'yong'sang'yuan 秋蚕专用桑园
'qiu'cha'zui 秋插罪
'qiu'chong'bing 球虫病
'qiu'cong 秋葱
'qiu'gen 球根
'qiu'gen'wa'jue'ji 球根挖掘机
'qiu'gen'zai'pei 球根栽培
'qiu'gen'zhi'wu 球根植物
'qiu'gen'zhuang'de 球根状的
'qiu'geng 秋耕
'qiu'guo 球果
'qiu'ji 秋季
'qiu'ji'zai'pei 秋季栽培
'qiu'jing 球茎
'qiu'jing'gan'lan 球茎甘蓝
'qiu'jun 球菌
'qiu'kui 秋葵
'qiu'ling'di'tu'rang 丘陵地土壤
'qiu'ling'fang'mu'de 丘陵放牧地
'qiu'luo'bo 秋萝卜
'qiu'ruan 球朊
'qiu'shang'xian'xing'de 泅上腺性的
'qiu'shui'xian 秋水仙
'qiu'shui'xian'duo'bei'ti 秋水仙多倍体
'qiu'wen 秋温
'qiu'xing'jian 球形茧
'qiu'yin 蚯蚓
'qiu'yin'fen'fei 蚯蚓粪肥
'qiu'zhen'xing'kou'yan 丘疹性口炎
'qiu'zhi 秋植
'qiu'zhuang'de 球状的
'qu'bie'zhong 区别种
'qu'cao'jing 去草净
'qu'chong 驱虫
'qu'chong'yao 驱虫药
'qu'dao'jie'gou'wu 渠道结构物
'qu'dao'wei'xiu 渠道维修
'qu'dong'lun 驱动轮
'qu'fen'hua 去分化
'qu'gou'ji 去垢剂
'qu'he 去核
'qu'hua 区划
'qu'hua 渠化
'qu'jian'gu'ji 区间估计
'qu'jian'gu'ji'fa 区间估计法
'qu'jiao 去角
'qu'jing'xi'guan 曲精细管
'qu'jue'yu 取决于
'qu'ke 去壳
'qu'li 去粒
'qu'mai'cai 苣荬菜
'qu'mei 曲霉
'qu'mei'bing 曲霉病
'qu'pi 去皮
'qu'ru'chong'de 驱蠕虫的
'qu'shi 去势
'qu'shi'niu 去势牛
'qu'shu 驱鼠
'qu'sui 去穗
'qu'xian'hui'gui 曲线回归
'qu'xian'hui'gui'fen'xi'fa 曲线回归分析法
'qu'xian'xiang'guan 曲线相关
'qu'xiang'yu 趋向于
'qu'xiang'yun'dong 取向运动
'qu'xing 区性
'qu'xiong 去雄
'qu'xue'yang 取血样
'qu'yang'di'dian 取样地点
'qu'yu'shi'yan 区域试验
'qu'zhi 取值
'qu'zi 曲子
'qu'zi'ji 取籽机
'qu'zu 区组
'quan'ban'de 全瓣的
'quan'bian'liang 权变量
'quan'bian'tai 全变态
'quan'bian'wei'mei 醛变位酶
'quan'ceng'shi'fei 全层施肥
'quan'gou'chong'bing 犬钩虫病
'quan'heng'li'bi 权衡利弊
'quan'ji'zai'tong 醛基甾酮
'quan'jia'pei'he'si'liao 全价配合饲料
'quan'jia'si'yang 全价饲养
'quan'jian 全茧
'quan'jian'liang 全茧量
'quan'jin'quan'chu 全进全出
'quan'lie 全裂
'quan'lie'de 全裂的
'quan'lie'tou'tao'chong'bing 犬裂头绦虫病
'quan'mei 全酶
'quan'mei 醛酶
'quan'mian'chu'cao'ji 全面除草剂
'quan'mian'fan'geng 全面翻耕
'quan'mian'guan'shui 全面灌水
'quan'mian'sa'bo 全面撒播
'quan'mian'san'bu 全面散布
'quan'mian'shi'fei 全面施肥
'quan'mian'xiu'xian 全面休闲
'quan'qu 全区
'quan'quan 全权
'quan'ru 全乳
'quan'shui 泉水
'quan'suo'mei 醛缩酶
'quan'tang 醛糖
'quan'tong'bao 全同胞
'quan'wen'yi 犬瘟疫
'quan'wo 醛肟
'quan'xian'chong'bing 犬线虫病
'quan'xin'si'zhuang'xian'chong'bing 犬心丝状线虫病
'quan'yuan 泉源
'quan'yuan'ye'de 全缘叶的
'quan'ze 权责
'quan'zhong 权重
'quan'zuo'zi 犬坐姿
'que'dan 缺氮
'que'dui'ran'se'ti 缺对染色体
'que'fa'bing 缺乏病
'que'fa'zheng'zhuang 缺乏症状
'que'gai'zheng 缺钙症
'que'han 缺憾
'que'ke 缺刻
'que'meng'dan'jian'zheng 缺锰胆碱症
'que'qu 缺区
'que'sheng 缺省
'que'shi 缺失
'que'shui 缺水
'que'shui'xue 缺水血
'que'yang'hu'xi 缺氧呼吸
'que'yang'zheng 缺氧症
'que'zhi 缺值
'que'zui'de 缺嘴的
'qun'cong 群丛
'qun'geng'xin 群更新
'qun'hao'ma 群号码
'qun'ji'du 群集度
'qun'luo'sheng'huo 群落生活
'qun'luo'sheng'jing 群落生境
'qun'luo'sheng'tai'xue 群落生态学
'qun'si 群饲
'qun'ti 群体
'qun'ti'jiao'pei 群体交配
'qun'ti'qian'zai'ku'rong 群体潜在库容
'qun'ti'qu'xiong 群体去雄
'qun'ti'wen'du 群体温度
'qun'ti'yi'chuan'xue 群体遗传学
'qun'xi 群系
'ran'liao'mu 染料木
'ran'liao'zhi'wu 染料植物
'ran'liao'zui 燃料罪
'ran'se 染色
'ran'se'dan'ti 染色单体
'ran'se'dan'ti'duan'lie 染色单体断裂
'ran'se'dan'ti'qiao 染色单体桥
'ran'se'dan'ti'yi'wei 染色单体易位
'ran'se'li 染色粒
'ran'se'ti 染色体
'ran'se'ti'ban'wen 染色体斑纹
'ran'se'ti'biao'ji 染色体标记
'ran'se'ti'duan'lie 染色体断裂
'ran'se'ti'fen'li 染色体分离
'ran'se'ti'fu'he 染色体复合
'ran'se'ti'fu'zhi 染色体复制
'ran'se'ti'gong'yi'xue 染色体工艺学
'ran'se'ti'ji'bian 染色体畸变
'ran'se'ti'ji'zhi 染色体基质
'ran'se'ti'jia'bei 染色体加倍
'ran'se'ti'jian'gan'rao 染色体间干扰
'ran'se'ti'jie'he 染色体接合
'ran'se'ti'lian 染色体链
'ran'se'ti'lian'he 染色体联合
'ran'se'ti'luo'xian 染色体螺线
'ran'se'ti'pai'lie 染色体排列
'ran'se'ti'qiao 染色体桥
'ran'se'ti'que'shi 染色体缺失
'ran'se'ti'rong'he 染色体融合
'ran'se'ti'shou'suo 染色体收缩
'ran'se'ti'shu 染色体数
'ran'se'ti'tu 染色体图
'ran'se'ti'xian'wei 染色体纤维
'ran'se'ti'xiao'jian 染色体消减
'ran'se'ti'xing 染色体型
'ran'se'ti'xue 染色体学
'ran'se'ti'yi'chang'you'fa 染色体异常诱发
'ran'se'ti'yi'wei 染色体易位
'ran'se'ti'yun'dong 染色体运动
'ran'se'ti'zhi'huan 染色体置换
'ran'se'ti'zu 染色体组
'ran'se'ti'zu'fen'li 染色体组分离
'ran'se'ti'zu'fen'xi 染色体组分析
'ran'se'ti'zu'gong'yi'xue 染色体组工艺学
'ran'se'ti'zu'tu'bian 染色体组突变
'ran'se'wei'li 染色微粒
'ran'se'xian 染色线
'ran'se'zhi 染色质
'ran'se'zhi'rong'jie 染色质溶解
'ran'se'zhi'xiang 染色质象
'ran'se'zhong'xin 染色中心
'ran'shao 燃烧
'ran'shao'fen'xi 燃烧分析
'ran'you'beng 燃油泵
'rang'tu 壤土
'rang'tu'shi 壤土石
're'bing 热病
're'chu'li 热处理
're'dai'cao'yuan 热带草原
're'dai'cong'lin 热带丛林
're'dai'qi'hou 热带气候
're'dai'shu'cai 热带蔬菜
're'dai'tu'rang 热带土壤
're'dai'xing'zhi'wu 热带性植物
're'dai'xing'zui 热带性罪
're'dai'yu'lin 热带雨林
're'dian 热点
're'fa'guang'fen'xi 热发光分析
're'fen'jie 热分解
're'fen'xi 热分析
're'fu'she 热辐射
're'hua'xue'xing'zhi 热化学性质
're'hui'shou 热回收
're'jiao'huan 热交换
're'jie'zhuo 热解酌
're'jing'hua 热净化
're'liang'ji 热量计
're'liao'fa 热疗法
're'neng'xiao'hao 热能消耗
're'ping'heng 热平衡
're'rong'liang 热容量
're'te'xing 热特性
're'wu'ran 热污染
're'xi'shou'neng'li 热吸收能力
're'xie'po 热胁迫
're'yuan 热源
'ren'chu'gong'huan'chuan'ran'bing 人畜共患传染病
'ren'fen'niao 人粪尿
'ren'fen'niao'wu'ni 人粪尿污泥
'ren'gong'cao'di 人工草地
'ren'gong'cha'yang 人工插秧
'ren'gong'di'li 人工地力
'ren'gong'dui'fei 人工堆肥
'ren'gong'fang'she'xing'yuan'su 人工放射性元素
'ren'gong'fen'qun 人工分群
'ren'gong'feng'chao 人工蜂巢
'ren'gong'fu'hua 人工孵化
'ren'gong'fu'zhi'zhi 人工腐殖质
'ren'gong'gan'cao 人工干草
'ren'gong'gan'ran 人工感染
'ren'gong'he'dao 人工河道
'ren'gong'hong'gan 人工烘干
'ren'gong'huan'qi 人工换气
'ren'gong'ji'yin 人工基因
'ren'gong'jiang'shui 人工降水
'ren'gong'jiang'yu 人工降雨
'ren'gong'nuan'fang 人工暖房
'ren'gong'pei'yang 人工培养
'ren'gong'shou'fen 人工授粉
'ren'gong'shou'jing 人工受精
'ren'gong'shou'jing'zhan 人工受精站
'ren'gong'shui'ku 人工水库
'ren'gong'si'liao 人工饲料
'ren'gong'tong'feng'shi'gan'zao'ji 人工通风式干燥机
'ren'gong'tu'rang 人工土壤
'ren'gong'wu'ran 人工污染
'ren'gong'xuan'ze 人工选择
'ren'gong'ying'yang 人工营养
'ren'gong'zhao'ming 人工照明
'ren'gong'zhi 人工膣
'ren'gong'zhong'zi 人工种子
'ren'jiao 任教
'ren'ma'xue'qing'ji'su 妊马血清激素
'ren'pi 韧皮
'ren'pi'bu 韧皮部
'ren'pi'xian'wei 韧皮纤维
'ren'pi'zhi'wu 韧皮植物
'ren'shen 人参
'ren'shen 人身
'ren'shen 妊娠
'ren'shen'du'xue'zheng 妊娠毒血症
'ren'shen'he'se'fu'bai'bing 人参褐色腐败病
'ren'shen'he'se'ruan'hua'bing 人参褐色软化病
'ren'shen'hou'qi 妊娠后期
'ren'shen'huang'ti 妊娠黄体
'ren'shen'mu'niu 妊娠母牛
'ren'shen'mu'zhu 妊娠母猪
'ren'shen'qi 妊娠期
'ren'shen'qian'qi 妊娠前期
'ren'shen'tan'ju'bing 人参炭疽病
'ren'shen'zhen'duan 妊娠诊断
'ren'shen'zhen'duan'qi 妊娠诊断器
'ren'shi 人事
'ren'xin'guo 人心果
'ren'yi 任一
'ren'zao'fei'liao 人造肥料
'ren'zao'tian'wei'ji 人造甜味剂
'ren'zhi 任职
'ri'ben'nao'yan 日本脑炎
'ri'bian 日变
'ri'bian'hua 日变化
'ri'cheng'biao 日程表
'ri'guang 日光
'ri'guang'bu'zu 日光不足
'ri'guang'wen'shi 日光温室
'ri'jian 日间
'ri'jun 日均
'ri'jun'wen 日均温
'ri'ka'ze 日喀则
'ri'liang 日量
'ri'she'bing 日射病
'ri'she'guan'ce 日射观测
'ri'she're 日射热
'ri'shu 日数
'ri'yu 日浴
'ri'zhao 日照
'ri'zhao'ji 日照计
'ri'zhao'liang 日照量
'ri'zhao'shi'jian 日照时间
'ri'zhao'tiao'jian 日照条件
'ri'zhou'qi 日周期
'rong'cheng'gai'lin'fei 熔成钙磷肥
'rong'cheng'lin'fei 熔成磷肥
'rong'cheng'mei'lin'fei 熔成镁磷肥
'rong'cheng'meng'fei 熔成锰肥
'rong'cheng'peng'fei 熔成硼肥
'rong'cheng'xin'fei 熔成锌肥
'rong'dian 融点
'rong'du'ji 溶度积
'rong'hua 熔化
'rong'ji 容积
'rong'ji 溶剂
'rong'ji'ti'qu 溶剂提取
'rong'jiao 溶胶
'rong'jie 溶解
'rong'jie'du 溶解度
'rong'jun 溶菌
'rong'jun'mei 溶菌酶
'rong'jun'su 溶菌素
'rong'jun'yi'zhi 溶菌抑制
'rong'liang'ping 容量瓶
'rong'liang'yin'shu 容量因数
'rong'mao 绒毛
'rong'mao'jian'gu'ying 绒毛剪股颖
'rong'mao'mo 绒毛膜
'rong'mao'mo'cu'xing'xian'su 绒毛膜促性腺素
'rong'mao'sheng'chan'xing 绒毛生产性
'rong'mei'ti 溶酶体
'rong'mo'niao'nang'mo 绒膜尿囊膜
'rong'qi 容器
'rong'shan'yang 绒山羊
'rong'xu'biao'zhun 容许标准
'rong'xu'can'liu'liang 容许残留量
'rong'xu'nong'du 容许浓度
'rong'xu'qu'jian 容许区间
'rong'xu'wu'cha 容许误差
'rong'xu'xian'du 容许限度
'rong'xu'zhi 容许值
'rong'xue 溶血
'rong'xue 融雪
'rong'ye 溶液
'rong'ye'pei'yang 溶液培养
'rong'yi'fen'jie'de'you'ji'wu'zhi 容易分解的有机物质
'rong'yuan'xing 溶原性
'rong'yuan'zhuan'hua 溶源转化
'rong'zhi 溶质
'rong'zhong 容重
'rou'bao'zi'chong 肉胞子虫
'rou'bao'zi'chong'bing 肉胞子虫病
'rou'fen 肉粉
'rou'gu'fen 肉骨粉
'rou'guo 肉果
'rou'lei'jia'gong'fu'chan'pin 肉类加工副产品
'rou'liu 肉瘤
'rou'niu 肉牛
'rou'pin'jian'yan 肉品检验
'rou'ru'ji 肉乳剂
'rou'shi'zhi'wu 肉食植物
'rou'sui'hua'xu 肉穗花序
'rou'ti'hua'xu 柔荑花序
'rou'ti'hua'xu'zhi'wu 柔荑花序植物
'rou'yang'bian 肉样变
'rou'yong'jia'chu 肉用家畜
'rou'yong'xing 肉用型
'rou'yong'yang 肉用羊
'rou'yong'zhu 肉用猪
'rou'yong'zi'ji 肉用仔鸡
'rou'zhi 肉汁
'rou'zhi'bi'lv 肉脂比率
'rou'zhi'zhi'wu 肉质植物
'ru'bai'dan'bai 乳白蛋白
'ru'bi'zhong 乳比重
'ru'cheng'fen 乳成分
'ru'chong 蠕虫
'ru'chong'bing 蠕虫病
'ru'chong'xue 蠕虫学
'ru'ci'er'yi 如此而已
'ru'dan'bai 乳蛋白
'ru'die'qiu'jun 入叠球菌
'ru'dong 蠕动
'ru'fang 乳房
'ru'fang'an'mo 乳房按摩
'ru'fang'bian'ying 乳房变硬
'ru'fang'ji'bing 乳房疾病
'ru'fang'qie'chu 乳房切除
'ru'fang'xing 乳房型
'ru'fang'yan 乳房炎
'ru'fang'zhi'shu 乳房指数
'ru'fu'chan'pin 乳副产品
'ru'fu'ji 乳副穖
'ru'guan 乳管
'ru'hua'ji 乳化剂
'ru'hua'xing 乳化性
'ru'huang'su 乳黄素
'ru'jing'mai 乳静脉
'ru'jun'su 乳菌素
'ru'liang'ji'lu 乳量记录
'ru'mi'que'fa 乳糜缺乏
'ru'niu 乳牛
'ru'niu'ye 乳牛业
'ru'qing'pei'yang'ji 乳清培养基
'ru'qing'suan 乳清酸
'ru'qiu'dan'bai 乳球蛋白
'ru'shang'suo'shu 如上所述
'ru'shu 乳熟
'ru'shu'qi 乳熟期
'ru'suan 乳酸
'ru'suan'fa'jiao 乳酸发酵
'ru'suan'jun 乳酸菌
'ru'suan'tuo'qing'mei 乳酸脱氢酶
'ru'suan'yan 乳酸盐
'ru'tang 乳糖
'ru'tang'cao'zong'zi 乳糖操纵子
'ru'tang'mei 乳糖酶
'ru'tou 乳头
'ru'tou'zhuang'liu 乳头状瘤
'ru'xian 乳腺
'ru'xian'chi 乳腺池
'ru'xing'man'bing 蠕形螨病
'ru'yong'shan'yang 乳用山羊
'ru'yong'yang 乳用羊
'ru'zhi 乳汁
'ru'zhi 乳脂
'ru'zhi'ji 乳脂计
'ru'zhi'zhi'zuo 乳脂制作
'ru'zhuo'ye 乳浊液
'ruan'fu'bing 软腐病
'ruan'gao'fei'liao 软膏肥料
'ruan'gu 软骨
'ruan'gu'fa'yu'bu'quan 软骨发育不全
'ruan'gu'zhan'ruan 软骨粘朊
'ruan'gu'zhong 软骨肿
'ruan'guan'jia'zi 软管夹子
'ruan'guan'jie'tou 软管接头
'ruan'hua'bing 软化病
'ruan'mei 朊酶
'ruan'qu 软驱
'ruan'tu 软土
'ruan'ye'de 软叶的
'ruan'zao'mi'hou'tao 软枣猕猴桃
'ruan'zhi'xian'wei'zhi'wu 软质纤维植物
'ruan'zhi'xiao'mai 软质小麦
'run'hua'ji 润滑剂
'ruo'chong 若虫
'ruo'du'zhu 弱毒株
'ruo'piao'bai'tu 弱漂白土
'ruo'shi 弱视
'ruo'suan'ke'rong'xing 弱酸可溶性
'ruo'suan'xing'de 弱酸性的
'sa'bo'ji 撒播机
'sa'fei'ji 撒肥机
'sa'fen 撒粉
'sa'fen'deng 撒粉灯
'sa'jiu'fei 撒厩肥
'sa'jiu'fei'lao 撒厩肥耢
'sa'shui'qi'ren'gong'jiang'yu'qi 撒水器人工降雨器
'sai'cao'ping 噻草平
'sai'fen 噻吩
'sai'gai 鳃盖
'sai'xian'yan 腮腺炎
'sai'zi 塞子
'sai'zuo 噻唑
'san'bei'ti 三倍体
'san'bei'xing 三倍性
'san'ceng'kuang'wu 三层矿物
'san'cha'shen'jing'ma'bi 三叉神经麻痹
'san'ci'rui'de 三雌蕊的
'san'ci'xiang'ying 三次响应
'san'dan'qiang'fa 散弹枪法
'san'dian 散点
'san'dian'ben'suan 三碘苯酸
'san'dian'tu 散点图
'san'dian'xuan'gua'zhuang'zhi 三点悬挂装置
'san'dui'ji'yin'za'zhong 三对基因杂种
'san'e'pian'de 三萼片的
'san'fang'hua'xu 伞房花序
'san'he'dai'suan 三核甙酸
'san'hei'sui'bing 散黑穗病
'san'hua'ban'de 三花瓣的
'san'hua'de 三花的
'san'hua'fen 散花粉
'san'hui'yu'zhuang'de 三回羽状的
'san'ji'yin'zu'zhong 三基因组种
'san'jia'ran'se'ti 三价染色体
'san'jiao'yan 三角堰
'san'jiao'zhou 三角洲
'san'jiao'zhou'tu'rang 三角洲土壤
'san'lin'suan'xian'gan 三磷酸腺苷
'san'lin'suan'xian'gan'mei 三磷酸腺苷酶
'san'lin'suan'xian'gan'xun'huan 三磷酸腺苷循环
'san'liu'lin 三硫磷
'san'luan 散卵
'san'mian'can 三眠蚕
'san'nian'sheng'de 三年生的
'san'qin 三嗪
'san'qin'lei'mie'cao'ji 三嗪类灭草剂
'san'quan'lie'de 三全裂的
'san'ran'se'ti 三染色体
'san'ran'se'ti'xing 三染色体性
'san're'qi 散热器
'san'shen'lie'de 三深裂的
'san'sheng'hua'de 散生花的
'san'sheng'ye'de 散生叶的
'san'sheng'zhong'zhu 散生中柱
'san'sheng'zi 三生子
'san'shi 散失
'san'shui'lv'kuang 三水铝矿
'san'suo'suan'xun'huan 三羧酸循环
'san'tan'zhi'wu 三碳植物
'san'xi'fa 三系法
'san'xi'za'jiao 三系杂交
'san'xing'hua'xu 伞形花序
'san'xing'hua'xu'zhi'wu 伞形花序植物
'san'xiong'rui'de 三雄蕊的
'san'xiu'yi'chun 三溴乙醇
'san'yao'su'fei'liao 三要素肥料
'san'ye'cao'fu'lan'bing 三叶草腐烂病
'san'ye'cao'shou'huo'ji 三叶草收获机
'san'ye'qi 三叶期
'san'ye'xiang'jiao'shu 三叶橡胶树
'san'yin'zi'shi'yan'she'ji 三因子试验设计
'san'you'suan'gan'you'zhi 三油酸甘油酯
'san'yuan'fu'he'fei'liao 三元复合肥料
'san'yuan'za'jiao 三元杂交
'san'zhong'zi'de 三种子的
'san'zhuang'ye'de 伞状叶的
'sang'biao'bai'fen'bing 桑表白粉病
'sang'can 桑蚕
'sang'gen 桑根
'sang'hai'chong 桑害虫
'sang'miao 桑苗
'sang'shen 桑椹
'sang'shen'zi 桑甚子
'sang'shi'han'xing 桑释寒性
'sang'shi'pei 桑试培
'sang'shi'sui 桑视穗
'sang'shi'ya'pei'yang 桑矢芽培养
'sang'shi'zi 桑十子
'sang'shou'fa 桑收法
'sang'shou'juan'bing 桑首绢病
'sang'shu 桑树
'sang'shu'fu'bing 桑戍腐病
